date,creator_tag,Spend,Campaign Name,Adset Name,Ad Name,ROAS,CTR,Hook Rate,Website Purchase,CPM,Frequency,Impressions,Thruplays,Video avg play time,Hold Rate
2026-02-10,Plyska,£3.15,Laundry-Sheets-ASC-Prospecting Campaign,Laundry-Sheets-ASC-Prospecting Ad Set,DIP_270525_Video_9x16_BrownNut_PlyskaGenova_LD_UGC_INV_TTCaptions_1.2x_H4 - Copy,0,0.00%,41.12%,0,£15.99,1.09,197,24,9,14.04%
2026-02-11,Plyska,£1.20,Laundry-Sheets-ASC-Prospecting Campaign,Laundry-Sheets-ASC-Prospecting Ad Set,DIP_270525_Video_9x16_BrownNut_PlyskaGenova_LD_UGC_INV_TTCaptions_1.2x_H4 - Copy,0,1.04%,34.38%,0,£12.50,1.09,96,10,8,12.66%
2026-02-12,Plyska,£1.08,Laundry-Sheets-ASC-Prospecting Campaign,Laundry-Sheets-ASC-Prospecting Ad Set,DIP_270525_Video_9x16_BrownNut_PlyskaGenova_LD_UGC_INV_TTCaptions_1.2x_H4 - Copy,0,0.00%,42.37%,0,£18.31,1.11,59,11,12,22.00%
2026-02-13,Plyska,£0.82,Laundry-Sheets-ASC-Prospecting Campaign,Laundry-Sheets-ASC-Prospecting Ad Set,DIP_270525_Video_9x16_BrownNut_PlyskaGenova_LD_UGC_INV_TTCaptions_1.2x_H4 - Copy,0,0.00%,54.55%,0,£24.85,1,33,5,9,17.24%
2026-02-14,Plyska,£1.07,Laundry-Sheets-ASC-Prospecting Campaign,Laundry-Sheets-ASC-Prospecting Ad Set,DIP_270525_Video_9x16_BrownNut_PlyskaGenova_LD_UGC_INV_TTCaptions_1.2x_H4 - Copy,0,2.22%,40.00%,0,£23.78,1.05,45,5,7,12.82%
2026-02-15,Plyska,£0.77,Laundry-Sheets-ASC-Prospecting Campaign,Laundry-Sheets-ASC-Prospecting Ad Set,DIP_270525_Video_9x16_BrownNut_PlyskaGenova_LD_UGC_INV_TTCaptions_1.2x_H4 - Copy,0,1.61%,48.39%,0,£12.42,1.07,62,10,12,19.61%
2026-02-16,Plyska,£1.20,Laundry-Sheets-ASC-Prospecting Campaign,Laundry-Sheets-ASC-Prospecting Ad Set,DIP_270525_Video_9x16_BrownNut_PlyskaGenova_LD_UGC_INV_TTCaptions_1.2x_H4 - Copy,0,0.00%,48.89%,0,£13.33,1.08,90,15,9,20.27%
2026-02-17,Plyska,£1.64,Laundry-Sheets-ASC-Prospecting Campaign,Laundry-Sheets-ASC-Prospecting Ad Set,DIP_270525_Video_9x16_BrownNut_PlyskaGenova_LD_UGC_INV_TTCaptions_1.2x_H4 - Copy,0,3.28%,45.08%,0,£13.44,1.04,122,16,10,16.84%
2026-02-25,Plyska,£0.03,GL - Dishwasher Sheets - Branded,GL - Dishwasher Sheets - PlyskaPerformance_Microplastics,DIP_230226_Video_9x16_PlyskaPerformance_Microplastics_DS_INV_H6 - Copy,0,0.00%,33.33%,0,£10.00,1,3,0,1,0.00%
2026-02-25,Plyska,£0.01,GL - Dishwasher Sheets - Branded,GL - Dishwasher Sheets - PlyskaPerformance_Microplastics,DIP_230226_Video_9x16_PlyskaPerformance_Microplastics_DS_INV_H1 - Copy,0,0.00%,0.00%,0,£10.00,1,1,0,1,0.00%
2026-02-25,Plyska,£0.01,GL - Dishwasher Sheets - Branded,GL - Dishwasher Sheets - PlyskaPerformance_Gut,DIP_230226_Video_9x16_PlyskaPerformance_Gut_DS_INV_H4 - Copy,0,0.00%,33.33%,0,£3.33,1,3,0,5,0.00%
2026-02-25,Plyska,£0.06,GL - Dishwasher Sheets - Branded,GL - Dishwasher Sheets - PlyskaPerformance_Gut,DIP_230226_Video_9x16_PlyskaPerformance_Gut_DS_INV_H5 - Copy,0,0.00%,28.57%,0,£8.57,1,7,0,3,0.00%
2026-02-25,Plyska,£0.08,GL - Dishwasher Sheets - Branded,GL - Dishwasher Sheets - PlyskaPerformance_Gut,DIP_230226_Video_9x16_PlyskaPerformance_Gut_DS_INV_H3 - Copy,0,0.00%,87.50%,0,£10.00,1,8,0,5,0.00%
2026-02-25,Plyska,£0.01,GL - Dishwasher Sheets - Branded,GL - Dishwasher Sheets - PlyskaPerformance_Gut,DIP_230226_Video_9x16_PlyskaPerformance_Gut_DS_INV_H2 - Copy,0,0.00%,100.00%,0,£10.00,1,1,1,24,100.00%
2026-02-25,Plyska,£0.02,GL - Dishwasher Sheets - Branded,GL - Dishwasher Sheets - PlyskaPerformance_Gut,DIP_230226_Video_9x16_PlyskaPerformance_Gut_DS_INV_H1 - Copy,0,0.00%,33.33%,0,£6.67,1,3,1,12,50.00%
2026-02-25,Plyska,£0.11,GL - Laundry Sheets - Branded,GL - Laundry Sheets - PlyskaPerformance_Fertility,DIP_230226_Video_9x16_PlyskaPerformance_Fertility_LD_INV_H5 - Copy,0,0.00%,50.00%,0,£9.17,1,12,1,5,9.09%
2026-02-25,Plyska,£0.23,GL - Laundry Sheets - Branded,GL - Laundry Sheets - PlyskaPerformance_Fertility,DIP_230226_Video_9x16_PlyskaPerformance_Fertility_LD_INV_H4 - Copy,0,0.00%,38.89%,0,£12.78,1,18,1,3,6.25%
2026-02-25,Plyska,£0.05,GL - Laundry Sheets - Branded,GL - Laundry Sheets - PlyskaPerformance_Fertility,DIP_230226_Video_9x16_PlyskaPerformance_Fertility_LD_INV_H6 - Copy,0,0.00%,0.00%,0,£25.00,1,2,0,1,0.00%
2026-02-25,Plyska,£0.25,GL - Laundry Sheets - Branded,GL - Laundry Sheets - PlyskaPerformance_Fertility,DIP_230226_Video_9x16_PlyskaPerformance_Fertility_LD_INV_H2 - Copy,0,0.00%,43.75%,0,£15.62,1,16,1,4,8.33%
2026-02-25,Plyska,£0.39,GL - Laundry Sheets - Branded,GL - Laundry Sheets - PlyskaPerformance_Fertility,DIP_230226_Video_9x16_PlyskaPerformance_Fertility_LD_INV_H3 - Copy,0,0.00%,50.00%,0,£27.86,1,14,2,8,15.38%
2026-02-25,Plyska,£0.90,GL - Laundry Sheets - Branded,GL - Laundry Sheets - PlyskaPerformance_Fertility,DIP_230226_Video_9x16_PlyskaPerformance_Fertility_LD_INV_H1 - Copy,0,1.47%,22.06%,0,£13.24,1.01,68,4,3,6.45%
2026-02-25,Plyska,£0.00,GL - Dishwasher Sheets - Branded,GL - Dishwasher Sheets - PlyskaPerformance_Gut,DIP_230226_Video_9x16_PlyskaPerformance_Gut_DS_INV_H6 - Copy,0,0.00%,50.00%,0,£0.00,1,2,0,5,0.00%
2026-02-26,Plyska,£0.75,GL - Dishwasher Sheets - Branded,GL - Dishwasher Sheets - PlyskaPerformance_Gut,DIP_230226_Video_9x16_PlyskaPerformance_Gut_DS_INV_H5 - Copy,0,0.00%,34.55%,0,£13.64,1.12,55,2,4,4.00%
2026-02-26,Plyska,£0.00,GL - Dishwasher Sheets - Branded,GL - Dishwasher Sheets - PlyskaPerformance_Microplastics,DIP_230226_Video_9x16_PlyskaPerformance_Microplastics_DS_INV_H2 - Copy,0,0.00%,0.00%,0,£0.00,1,1,0,0,
